id,link
253861,https://www.pluralsight.com/courses/exam-alert-implement-iot-edge-microsoft-azure
253905,https://www.pluralsight.com/courses/ng-conf-2020-session-23
253906,https://www.pluralsight.com/courses/ng-conf-2020-session-06
253919,https://www.pluralsight.com/courses/covid-19-curing-diseases
253920,https://www.pluralsight.com/courses/pluralsight-live-2020-sisters-who-tech
253960,https://www.pluralsight.com/courses/cisco-sd-wan-advanced-policies
253985,https://www.pluralsight.com/courses/ng-conf-2020-session-26
253992,https://www.pluralsight.com/courses/exam-alert-design-identity-security-microsoft-azure
253997,https://www.pluralsight.com/courses/incident-response-recovery-sscp-cert
254017,https://www.pluralsight.com/courses/getting-started-h20-ai
254028,https://www.pluralsight.com/courses/designing-azure-solution-support-sap-workloads
254042,https://www.pluralsight.com/courses/innovating-data-google-cloud-2
254047,https://www.pluralsight.com/courses/tableau-desktop-certified-associate-dashboards
254060,https://www.pluralsight.com/courses/gatsbyjs-plugins-themes-starters-playbook
254063,https://www.pluralsight.com/courses/exam-alert-design-data-storage-microsoft-azure
254065,https://www.pluralsight.com/courses/icagile-icp-fdo-getting-started-cert
254066,https://www.pluralsight.com/courses/icagile-icp-fdo-continuous-integration
254071,https://www.pluralsight.com/courses/microsoft-azure-solutions-architect-design-storage-accounts
254096,https://www.pluralsight.com/courses/microsoft-azure-security-engineer-configure-security-databases
254100,https://www.pluralsight.com/courses/exam-alert-manage-security-operations-microsoft-azure
254117,https://www.pluralsight.com/courses/api-design-fundamentals-google-clouds-apigee-api-platform-2
254122,https://www.pluralsight.com/courses/microsoft-365-administration-playbook
254124,https://www.pluralsight.com/courses/pluralsight-live-2020-accenture
254146,https://www.pluralsight.com/courses/comptia-cloud-plus-cloud-architecture-design-cert
254151,https://www.pluralsight.com/courses/aspnet-securing-multi-tenant-server-side-apps-spas
254155,https://www.pluralsight.com/courses/exam-alert-manage-identity-access-microsoft-azure
254163,https://www.pluralsight.com/courses/msft-365-identity-services-managing-access-authentication
254171,https://www.pluralsight.com/courses/exam-alert-secure-data-applications-microsoft-azure
254172,https://www.pluralsight.com/courses/security-operations-administration-sscp-cert
254182,https://www.pluralsight.com/courses/microsoft-azure-security-engineer-monitor-security-using-azure-monitor
254228,https://www.pluralsight.com/courses/microsoft-azure-solutions-architect-introduction-az-303-exam
254230,https://www.pluralsight.com/courses/icagile-icp-prg-collaboration-tooling
254236,https://www.pluralsight.com/courses/feedback-sharing-sessions-successfully
254247,https://www.pluralsight.com/courses/virtual-agent-development-dialogflow-es-citizen-devs
254248,https://www.pluralsight.com/courses/allthetalks-session-65
254252,https://www.pluralsight.com/courses/monitoring-troubleshooting-azure-kubernetes-service-clusters-workloads
254272,https://www.pluralsight.com/courses/access-controls-sscp-cert
254282,https://www.pluralsight.com/courses/cordova-apps-angular-typescript-vscode
254288,https://www.pluralsight.com/courses/touch-motion-events-ios
254291,https://www.pluralsight.com/courses/microsoft-azure-executive-briefing
254310,https://www.pluralsight.com/courses/aws-assigning-resource-based-policies
254335,https://www.pluralsight.com/courses/fundamentals-citrix-application-delivery-security-service-2
254344,https://www.pluralsight.com/courses/javascript-javascript-html-documents
254345,https://www.pluralsight.com/courses/purescript-1-fundamentals
254346,https://www.pluralsight.com/courses/gatsbyjs-consuming-data
254349,https://www.pluralsight.com/courses/go-range-slices
254350,https://www.pluralsight.com/courses/angular-template-files-stylesheets
254365,https://www.pluralsight.com/courses/advanced-reporting-salesforce-cert
254366,https://www.pluralsight.com/courses/core-concepts-recurrent-neural-networks
254371,https://www.pluralsight.com/courses/sap-fundamentals-beginners
254373,https://www.pluralsight.com/courses/microsoft-power-platform-developer-preparing-exam-pl-400-cert
254381,https://www.pluralsight.com/courses/angular-ngfor-directive
254384,https://www.pluralsight.com/courses/mastering-microsoft-azure-resource-manager-architecture
254409,https://www.pluralsight.com/courses/win-11-desktop-admin-managing-devices-applications-storage
254413,https://www.pluralsight.com/courses/data-preparation-analysis-alteryx
254424,https://www.pluralsight.com/courses/jcl-zos-fundamentals
254433,https://www.pluralsight.com/courses/sitecore-9-helix-getting-started
254434,https://www.pluralsight.com/courses/management-to-technical-professional
254435,https://www.pluralsight.com/courses/elastic-google-cloud-infrastructure-scaling-automation-7
254436,https://www.pluralsight.com/courses/analyzing-data-different-sources-sisense
254437,https://www.pluralsight.com/courses/ispf-editor-playbook
254438,https://www.pluralsight.com/courses/data-literacy-essentials-ethics-augmented-analytics
254439,https://www.pluralsight.com/courses/fundamentals-citrix-application-delivery-security-service
254442,https://www.pluralsight.com/courses/managing-administering-databricks-service
254449,https://www.pluralsight.com/courses/js-friends-session-01
254451,https://www.pluralsight.com/courses/vmware-nsx-t-data-center-administrative-operational-tasks-cert
254452,https://www.pluralsight.com/courses/rhcs-advanced-automation-ansible-core-cert
254453,https://www.pluralsight.com/courses/data-collection-processing-ctia-cert
254458,https://www.pluralsight.com/courses/windows-server-2022-monitor-troubleshoot-server-environments-cert
254466,https://www.pluralsight.com/courses/industrial-iot-google-cloud-3
254467,https://www.pluralsight.com/courses/modernizing-data-lakes-data-warehouses-google-cloud-1
254468,https://www.pluralsight.com/courses/computer-vision-google-cloud
254469,https://www.pluralsight.com/courses/essential-google-cloud-infrastructure-core-services-8
254475,https://www.pluralsight.com/courses/iiba-cca-getting-started-cert
254476,https://www.pluralsight.com/courses/migrating-google-cloud-7
254477,https://www.pluralsight.com/courses/preparing-professional-cloud-network-engineer-journey-1
254478,https://www.pluralsight.com/courses/recommendation-systems-google-cloud
254479,https://www.pluralsight.com/courses/api-design-fundamentals-google-clouds-apigee-api-platform-5
254480,https://www.pluralsight.com/courses/launching-machine-learning-2
254481,https://www.pluralsight.com/courses/api-security-google-clouds-apigee-api-platform-c2
254484,https://www.pluralsight.com/courses/machine-learning-enterprise
254485,https://www.pluralsight.com/courses/how-google-does-machine-learning-2
254486,https://www.pluralsight.com/courses/networking-google-cloud-defining-implementing-networks-6
254489,https://www.pluralsight.com/courses/deploying-sap-google-cloud
254499,https://www.pluralsight.com/courses/tools-code-analysis-pentest-plus-cert
254528,https://www.pluralsight.com/courses/feature-engineering-2
254529,https://www.pluralsight.com/courses/api-design-fundamentals-google-clouds-apigee-api-platform-3
254531,https://www.pluralsight.com/courses/iiba-cca-risks-controls-cert
254533,https://www.pluralsight.com/courses/iiba-cca-analysis-techniques-cert
254534,https://www.pluralsight.com/courses/managing-sitecore-docker-containers
254537,https://www.pluralsight.com/courses/msft-365-messaging-securing-messaging-environment
254544,https://www.pluralsight.com/courses/exam-review-tips-tricks-cism-cert
254566,https://www.pluralsight.com/courses/using-validation-best-practices-secure-aspdotnet-core-applications
254578,https://www.pluralsight.com/courses/oracle-database-program-creating-functions-cert
254579,https://www.pluralsight.com/courses/oracle-database-program-managing-dependencies-cert
254585,https://www.pluralsight.com/courses/automated-browser-testing-test-cafe-typescript
254588,https://www.pluralsight.com/courses/preparing-associate-cloud-engineer-journey
